Department,Designation,Experience,CollegeTier,Salary
Operations,Director,18,Tier 2,2527812
Support,Analyst,2,Tier 2,491979
HR,Lead,18,Tier 1,2238410
Sales,Senior Dev,12,Tier 2,1455467
Support,Senior Dev,6,Tier 2,1049854
Sales,Intern,6,Tier 2,625065
IT,Manager,7,Tier 3,1297812
HR,Associate,13,Tier 2,1270179
IT,Analyst,9,Tier 3,818275
Support,Analyst,14,Tier 3,1157857
IT,Senior Dev,19,Tier 1,2180948
Support,Analyst,7,Tier 1,909464
Operations,Intern,15,Tier 3,1097794
Support,Associate,15,Tier 3,1286998
Marketing,Analyst,13,Tier 2,1202525
Finance,Lead,3,Tier 1,1086654
Marketing,Director,2,Tier 2,1457236
Finance,Manager,0,Tier 2,975042
Operations,Director,14,Tier 3,2058407
Sales,Intern,7,Tier 1,759270
Finance,Director,3,Tier 1,1742068
IT,Associate,9,Tier 1,1164459
HR,Senior Dev,2,Tier 2,778673
Support,Director,16,Tier 3,2136614
Finance,Senior Dev,19,Tier 3,1759430
IT,Intern,12,Tier 1,1136964
Finance,Manager,8,Tier 3,1399976
Operations,Analyst,5,Tier 3,604148
Marketing,Analyst,9,Tier 3,832918
HR,Director,6,Tier 2,1705540
HR,Director,19,Tier 3,2348402
Marketing,Manager,18,Tier 2,2172917
HR,Lead,14,Tier 1,1905179
IT,Senior Dev,11,Tier 3,1249493
Sales,Director,18,Tier 3,2280206
Support,Manager,3,Tier 2,1177624
Marketing,Director,4,Tier 2,1576412
Marketing,Intern,17,Tier 1,1530517
Finance,Associate,4,Tier 1,793064
HR,Lead,15,Tier 3,1600106
Sales,Lead,18,Tier 1,2211589
Operations,Lead,15,Tier 2,1766218
Finance,Lead,14,Tier 3,1540581
HR,Manager,3,Tier 3,1094582
Marketing,Director,15,Tier 3,2097127
Sales,Analyst,7,Tier 2,777088
Marketing,Senior Dev,15,Tier 3,1514602
IT,Director,9,Tier 2,1887273
Marketing,Associate,1,Tier 1,576486
Marketing,Manager,8,Tier 2,1497168
Finance,Analyst,10,Tier 2,963551
Marketing,Lead,9,Tier 3,1253733
HR,Senior Dev,16,Tier 1,1948483
Finance,Intern,15,Tier 2,1202963
HR,Analyst,14,Tier 2,1256920
Marketing,Manager,4,Tier 1,1426845
Finance,Manager,16,Tier 1,2333078
Finance,Manager,18,Tier 1,2457067
IT,Associate,16,Tier 2,1476728
Finance,Lead,1,Tier 3,750583
HR,Associate,14,Tier 2,1341263
Sales,Director,6,Tier 1,1921914
Finance,Lead,5,Tier 1,1239456
Operations,Analyst,14,Tier 3,1110406
Marketing,Intern,6,Tier 2,619276
Operations,Director,16,Tier 3,2149873
HR,Senior Dev,8,Tier 3,1068908
Support,Manager,8,Tier 3,1371644
IT,Associate,5,Tier 2,777125
IT,Manager,19,Tier 1,2562291
HR,Manager,2,Tier 2,1128176
Finance,Lead,16,Tier 3,1655675
Marketing,Intern,15,Tier 1,1345174
Finance,Lead,12,Tier 1,1779998
Operations,Associate,0,Tier 1,482112
Finance,Lead,2,Tier 2,881689
IT,Analyst,14,Tier 1,1414555
Sales,Intern,3,Tier 3,356033
Sales,Senior Dev,16,Tier 3,1534946
Support,Director,10,Tier 2,1984675
Operations,Senior Dev,2,Tier 2,780919
Sales,Intern,13,Tier 2,1091833
Finance,Director,0,Tier 3,1220445
Finance,Analyst,1,Tier 1,457564
IT,Intern,3,Tier 2,411255
Support,Director,18,Tier 2,2482997
Finance,Lead,0,Tier 1,885880
Sales,Director,7,Tier 1,2005578
Sales,Director,0,Tier 3,1220628
Sales,Analyst,15,Tier 3,1170389
IT,Director,7,Tier 1,2040580
Operations,Analyst,15,Tier 2,1291855
Sales,Director,2,Tier 2,1480002
Sales,Director,11,Tier 3,1882815
HR,Associate,10,Tier 2,1071481
HR,Associate,19,Tier 2,1720414
Marketing,Manager,3,Tier 1,1379819
Marketing,Manager,1,Tier 3,949477
Finance,Associate,18,Tier 1,1840792
Finance,Senior Dev,4,Tier 1,1063526
Support,Manager,13,Tier 2,1867079
HR,Intern,2,Tier 2,333889
Support,Associate,15,Tier 1,1606254
Finance,Intern,18,Tier 1,1581442
Support,Senior Dev,17,Tier 1,2048747
Finance,Associate,15,Tier 1,1611199
HR,Senior Dev,0,Tier 2,630112
HR,Manager,11,Tier 1,1939581
Support,Director,10,Tier 1,2246500
Sales,Senior Dev,11,Tier 2,1357424
Marketing,Senior Dev,5,Tier 1,1114552
HR,Lead,4,Tier 2,1014808
HR,Senior Dev,13,Tier 3,1373620
Support,Associate,0,Tier 1,500013
Support,Intern,17,Tier 1,1548103
Finance,Lead,8,Tier 1,1461402
Sales,Senior Dev,4,Tier 3,867210
Sales,Manager,1,Tier 3,942253
Sales,Analyst,14,Tier 3,1117846
HR,Senior Dev,3,Tier 1,984200
Sales,Intern,12,Tier 1,1166163
Operations,Manager,6,Tier 2,1371950
Support,Manager,13,Tier 2,1840742
Marketing,Director,18,Tier 2,2502703
IT,Manager,19,Tier 2,2237580
HR,Associate,17,Tier 1,1760166
Finance,Intern,9,Tier 3,763608
HR,Manager,7,Tier 2,1477513
Support,Manager,9,Tier 1,1825312
HR,Analyst,1,Tier 1,436901
Support,Intern,4,Tier 1,545917
Support,Director,8,Tier 3,1651988
Sales,Senior Dev,17,Tier 3,1634505
IT,Analyst,19,Tier 3,1424256
Support,Lead,16,Tier 1,2073230
Sales,Manager,2,Tier 3,1035833
Marketing,Senior Dev,1,Tier 3,662088
HR,Lead,2,Tier 1,1036167
Marketing,Analyst,1,Tier 1,425755
HR,Senior Dev,9,Tier 2,1246693
HR,Lead,10,Tier 3,1302182
Sales,Intern,6,Tier 2,614890
Support,Intern,14,Tier 3,1040949
Operations,Manager,19,Tier 2,2230346
Finance,Manager,8,Tier 3,1396005
Operations,Director,19,Tier 2,2573267
IT,Lead,2,Tier 1,1021990
HR,Manager,1,Tier 3,960109
Support,Analyst,1,Tier 1,468021
IT,Lead,2,Tier 3,824510
Support,Director,9,Tier 1,2157360
Finance,Lead,0,Tier 3,726671
Sales,Lead,15,Tier 3,1615800
Operations,Associate,3,Tier 1,749330
HR,Senior Dev,1,Tier 3,659084
IT,Associate,3,Tier 1,704280
Finance,Senior Dev,18,Tier 3,1692137
Support,Director,9,Tier 3,1725438
Operations,Director,18,Tier 1,2877903
IT,Associate,3,Tier 2,665953
IT,Lead,12,Tier 1,1786243
Support,Senior Dev,0,Tier 3,607164
HR,Lead,3,Tier 2,951318
IT,Manager,16,Tier 1,2351456
IT,Analyst,3,Tier 2,498082
Support,Lead,0,Tier 3,710585
Sales,Intern,3,Tier 2,399336
Sales,Analyst,12,Tier 3,992093
Marketing,Analyst,9,Tier 3,866223
Marketing,Manager,5,Tier 1,1478367
Operations,Manager,5,Tier 2,1333664
Sales,Manager,9,Tier 1,1786753
Marketing,Manager,17,Tier 2,2101874
Support,Intern,19,Tier 3,1317674
Finance,Lead,14,Tier 3,1539315
Operations,Manager,8,Tier 1,1719473
IT,Intern,18,Tier 2,1407943
Support,Intern,16,Tier 3,1134138
Operations,Intern,8,Tier 1,830409
Operations,Intern,17,Tier 1,1505451
Support,Intern,12,Tier 2,1010327
Sales,Director,6,Tier 3,1554944
Support,Senior Dev,14,Tier 3,1440131
Finance,Lead,14,Tier 2,1701887
Finance,Manager,0,Tier 2,982520
Finance,Manager,13,Tier 1,2106932
Operations,Lead,10,Tier 3,1275039
Sales,Associate,1,Tier 1,592399
IT,Analyst,10,Tier 3,878252
Operations,Senior Dev,17,Tier 2,1779586
IT,Senior Dev,0,Tier 1,740810
Operations,Associate,15,Tier 3,1282625
Support,Intern,15,Tier 3,1120678
Support,Analyst,9,Tier 2,895361
HR,Lead,5,Tier 2,1074370
Sales,Director,3,Tier 3,1357610
Support,Manager,12,Tier 3,1637607
HR,Analyst,13,Tier 1,1330626
HR,Intern,9,Tier 2,784869
Finance,Director,0,Tier 1,1471014
Support,Director,13,Tier 2,2178471
Marketing,Associate,18,Tier 3,1475069
Support,Senior Dev,9,Tier 3,1133248
Marketing,Lead,8,Tier 1,1488516
IT,Manager,5,Tier 2,1314170
Sales,Director,6,Tier 3,1568256
Marketing,Associate,0,Tier 3,396293
IT,Intern,4,Tier 2,475128
HR,Manager,17,Tier 3,1902855
Marketing,Lead,1,Tier 2,863788
HR,Manager,10,Tier 1,1850307
IT,Director,5,Tier 1,1863425
Support,Director,7,Tier 2,1795427
Support,Manager,17,Tier 1,2408506
HR,Lead,4,Tier 2,1029934
Operations,Director,17,Tier 1,2769417
Operations,Lead,10,Tier 3,1277352
Finance,Senior Dev,12,Tier 2,1445299
IT,Intern,6,Tier 2,622412
IT,Manager,10,Tier 3,1499493
Marketing,Senior Dev,3,Tier 3,781707
IT,Intern,14,Tier 2,1121296
IT,Lead,2,Tier 1,1008261
Support,Director,5,Tier 3,1500449
Support,Senior Dev,0,Tier 1,721637
IT,Manager,5,Tier 1,1483652
Operations,Manager,15,Tier 2,1975500
Sales,Manager,4,Tier 1,1429800
IT,Analyst,9,Tier 1,1067963
Finance,Director,17,Tier 2,2443174
Support,Lead,2,Tier 2,907436
HR,Manager,14,Tier 3,1725954
Sales,Lead,2,Tier 2,926211
Finance,Manager,4,Tier 3,1142963
Support,Lead,11,Tier 2,1477707
HR,Director,9,Tier 3,1713606
IT,Manager,19,Tier 2,2217927
Support,Senior Dev,12,Tier 3,1336390
Support,Lead,13,Tier 1,1822591
Operations,Lead,4,Tier 3,936147
IT,Lead,13,Tier 3,1488889
IT,Manager,16,Tier 3,1845721
Marketing,Senior Dev,6,Tier 3,941087
Sales,Associate,0,Tier 3,393408
Finance,Director,8,Tier 1,2087413
Finance,Manager,18,Tier 3,2009500
Operations,Manager,2,Tier 3,1046358
Marketing,Manager,8,Tier 3,1377253
Marketing,Senior Dev,4,Tier 1,1052854
Marketing,Analyst,16,Tier 3,1268987
HR,Director,15,Tier 3,2086322
Support,Associate,8,Tier 1,1116364
Sales,Intern,14,Tier 1,1271700
Marketing,Lead,12,Tier 1,1768199
HR,Director,13,Tier 3,1982115
Operations,Lead,14,Tier 2,1714799
Marketing,Analyst,12,Tier 2,1097520
Operations,Senior Dev,7,Tier 3,1039748
Operations,Analyst,1,Tier 2,423828
Sales,Senior Dev,5,Tier 3,884955
Sales,Associate,17,Tier 3,1403917
Finance,Senior Dev,0,Tier 3,611680
Support,Senior Dev,10,Tier 2,1321135
Operations,Lead,9,Tier 3,1251458
Support,Analyst,13,Tier 1,1341113
IT,Manager,9,Tier 3,1457086
HR,Senior Dev,18,Tier 1,2113939
HR,Analyst,1,Tier 3,389080
HR,Senior Dev,9,Tier 3,1154571
Sales,Analyst,10,Tier 1,1121829
Marketing,Associate,6,Tier 2,841062
HR,Analyst,14,Tier 1,1442861
Marketing,Senior Dev,18,Tier 3,1697221
Sales,Intern,14,Tier 1,1273453
IT,Analyst,7,Tier 3,733370
Operations,Lead,8,Tier 2,1283534
Sales,Manager,0,Tier 3,889389
Support,Associate,0,Tier 3,419170
HR,Analyst,2,Tier 2,446665
Marketing,Lead,7,Tier 1,1425470
Sales,Director,9,Tier 2,1892640
Support,Manager,17,Tier 2,2112049
IT,Senior Dev,18,Tier 3,1687004
Finance,Director,0,Tier 1,1513937
Operations,Intern,15,Tier 2,1180238
Support,Lead,12,Tier 2,1542799
Operations,Intern,16,Tier 3,1158916
Finance,Lead,6,Tier 2,1155071
HR,Director,16,Tier 3,2184540
HR,Manager,4,Tier 1,1410810
IT,Intern,6,Tier 3,560009
Support,Associate,16,Tier 3,1376182
Finance,Senior Dev,0,Tier 3,620928
IT,Intern,16,Tier 1,1459082
Finance,Senior Dev,2,Tier 1,910142
HR,Associate,10,Tier 3,980655
HR,Manager,15,Tier 1,2256661
Sales,Associate,8,Tier 2,989831
Support,Lead,0,Tier 2,796412
Finance,Senior Dev,15,Tier 1,1872048
Finance,Director,18,Tier 3,2275963
Marketing,Lead,18,Tier 2,1934773
IT,Director,8,Tier 2,1847894
Sales,Intern,13,Tier 2,1059676
IT,Intern,18,Tier 1,1619810
Finance,Senior Dev,1,Tier 2,749160
IT,Senior Dev,12,Tier 1,1624994
Marketing,Intern,10,Tier 1,973764
HR,Manager,13,Tier 2,1855405
Operations,Associate,7,Tier 3,813185
Marketing,Director,18,Tier 3,2307727
Support,Manager,15,Tier 3,1811153
Support,Director,7,Tier 1,1997581
HR,Director,5,Tier 1,1847763
Operations,Senior Dev,14,Tier 2,1609480
IT,Associate,7,Tier 2,882531
HR,Manager,14,Tier 2,1909307
Support,Associate,19,Tier 2,1675064
Operations,Analyst,16,Tier 3,1267548
Finance,Lead,17,Tier 1,2167937
Finance,Senior Dev,12,Tier 3,1341756
Operations,Senior Dev,14,Tier 2,1603683
IT,Analyst,9,Tier 2,938764
IT,Intern,2,Tier 1,384162
Support,Analyst,2,Tier 2,478773
Support,Associate,13,Tier 1,1467335
Sales,Associate,7,Tier 2,886394
Sales,Analyst,3,Tier 3,472010
IT,Senior Dev,19,Tier 3,1712890
Finance,Associate,10,Tier 1,1275391
IT,Director,10,Tier 3,1803665
Finance,Intern,16,Tier 3,1178008
IT,Director,1,Tier 3,1285612
Marketing,Manager,14,Tier 2,1938319
Sales,Senior Dev,3,Tier 3,771639
Support,Director,8,Tier 1,2086633
Support,Manager,4,Tier 2,1227439
Operations,Analyst,12,Tier 2,1151197
Sales,Analyst,6,Tier 3,688847
Support,Senior Dev,19,Tier 3,1730176
Finance,Manager,2,Tier 1,1299482
Marketing,Manager,11,Tier 1,1939996
HR,Director,6,Tier 2,1721931
Operations,Analyst,8,Tier 2,863710
IT,Intern,5,Tier 1,630740
Finance,Intern,16,Tier 1,1448047
HR,Analyst,2,Tier 3,440964
Finance,Analyst,3,Tier 1,570489
HR,Intern,4,Tier 1,542260
Support,Lead,9,Tier 1,1539275
Finance,Director,9,Tier 3,1746284
Operations,Senior Dev,12,Tier 3,1329178
Operations,Senior Dev,15,Tier 1,1861999
Support,Intern,7,Tier 3,630172
Marketing,Manager,1,Tier 1,1171629
Support,Director,11,Tier 2,2057609
Finance,Associate,11,Tier 2,1181450
IT,Manager,14,Tier 2,1905839
IT,Manager,16,Tier 1,2347953
Finance,Intern,1,Tier 2,262539
Marketing,Senior Dev,18,Tier 3,1683625
HR,Senior Dev,17,Tier 2,1759485
HR,Associate,16,Tier 3,1346767
Sales,Intern,5,Tier 1,605744
IT,Intern,14,Tier 2,1167442
Marketing,Director,5,Tier 3,1482226
HR,Lead,0,Tier 3,701709
Sales,Manager,12,Tier 2,1774495
Marketing,Associate,13,Tier 1,1493908
IT,Director,3,Tier 1,1722526
Marketing,Senior Dev,9,Tier 2,1276198
IT,Senior Dev,14,Tier 2,1587998
Sales,Manager,3,Tier 2,1182031
Sales,Lead,5,Tier 1,1267063
HR,Manager,19,Tier 2,2263145
Support,Intern,4,Tier 3,432867
HR,Associate,11,Tier 2,1152544
Support,Intern,7,Tier 3,615344
Operations,Senior Dev,4,Tier 1,1059486
Finance,Director,5,Tier 1,1860228
Marketing,Senior Dev,2,Tier 1,875710
Sales,Director,4,Tier 2,1573259
Finance,Analyst,13,Tier 2,1191457
Support,Intern,15,Tier 3,1072103
Marketing,Director,13,Tier 2,2194778
HR,Analyst,7,Tier 2,794510
IT,Analyst,6,Tier 1,807391
IT,Senior Dev,12,Tier 3,1318901
Marketing,Senior Dev,17,Tier 1,2027001
Marketing,Analyst,7,Tier 1,872378
Sales,Intern,0,Tier 1,270357
IT,Associate,5,Tier 1,880503
Marketing,Senior Dev,19,Tier 1,2154867
Sales,Associate,10,Tier 3,1003724
Operations,Associate,9,Tier 3,960626
Operations,Analyst,12,Tier 3,1013386
HR,Director,2,Tier 2,1467406
Finance,Lead,14,Tier 2,1719548
IT,Lead,12,Tier 1,1780618
Sales,Lead,19,Tier 3,1820698
Operations,Senior Dev,18,Tier 2,1843525
Sales,Senior Dev,10,Tier 3,1219053
Sales,Manager,15,Tier 1,2226644
Support,Lead,2,Tier 3,837701
IT,Lead,5,Tier 1,1263469
Marketing,Intern,17,Tier 3,1242656
HR,Intern,3,Tier 3,405199
Marketing,Lead,14,Tier 3,1546607
Support,Analyst,10,Tier 2,983993
Support,Intern,2,Tier 1,427858
Operations,Lead,15,Tier 2,1751188
Finance,Senior Dev,9,Tier 3,1120776
Finance,Intern,3,Tier 1,454788
Support,Senior Dev,18,Tier 2,1828922
Support,Associate,1,Tier 1,578340
Operations,Director,10,Tier 1,2276984
Finance,Senior Dev,19,Tier 3,1758175
Operations,Senior Dev,18,Tier 3,1661094
HR,Analyst,10,Tier 1,1100741
Finance,Manager,1,Tier 2,1032838
Sales,Analyst,4,Tier 3,513262
Operations,Lead,4,Tier 2,1048594
IT,Associate,11,Tier 2,1166257
Marketing,Analyst,3,Tier 1,600453
HR,Director,16,Tier 2,2348217
HR,Senior Dev,19,Tier 1,2169229
Finance,Associate,13,Tier 3,1164026
HR,Associate,10,Tier 1,1250908
IT,Analyst,17,Tier 1,1639610
Finance,Intern,17,Tier 2,1319031
Support,Senior Dev,10,Tier 1,1529668
Sales,Lead,11,Tier 1,1706484
Finance,Manager,8,Tier 2,1488570
Support,Senior Dev,8,Tier 3,1079877
Finance,Manager,9,Tier 2,1554917
Sales,Manager,18,Tier 3,1979504
Marketing,Intern,6,Tier 3,586579
IT,Lead,0,Tier 3,688062
HR,Analyst,7,Tier 2,771941
Marketing,Senior Dev,17,Tier 1,2018470
Finance,Manager,16,Tier 3,1875148
Finance,Associate,13,Tier 2,1289133
Sales,Manager,17,Tier 2,2126435
Finance,Manager,17,Tier 3,1907519
Support,Senior Dev,0,Tier 1,728566
Sales,Director,10,Tier 2,1999358
Marketing,Director,11,Tier 3,1864087
IT,Manager,19,Tier 3,2066541
HR,Lead,5,Tier 3,972690
Operations,Senior Dev,12,Tier 3,1309404
Support,Director,1,Tier 1,1570380
Marketing,Associate,16,Tier 2,1485173
Marketing,Associate,1,Tier 2,529027
Support,Intern,10,Tier 1,994519
IT,Manager,11,Tier 2,1708439
HR,Intern,10,Tier 1,981413
IT,Senior Dev,19,Tier 1,2168559
IT,Director,7,Tier 2,1775513
Operations,Associate,16,Tier 3,1351119
Marketing,Director,19,Tier 2,2573299
Operations,Lead,15,Tier 1,1995517
Support,Associate,10,Tier 3,988950
HR,Senior Dev,15,Tier 3,1493596
Support,Associate,14,Tier 2,1388199
IT,Analyst,15,Tier 1,1529546
HR,Director,8,Tier 2,1846850
IT,Lead,19,Tier 2,2036788
Support,Lead,9,Tier 1,1536848
Marketing,Analyst,14,Tier 1,1447446
Marketing,Associate,7,Tier 2,905998
Operations,Director,13,Tier 3,2005571
IT,Lead,6,Tier 3,1035750
Sales,Associate,11,Tier 1,1308232
Support,Senior Dev,16,Tier 3,1565903
Sales,Lead,9,Tier 1,1552093
IT,Manager,18,Tier 3,2003741
Marketing,Associate,10,Tier 3,1018225
Sales,Intern,17,Tier 2,1329478
Sales,Intern,11,Tier 3,881769
IT,Associate,1,Tier 3,455338
Marketing,Intern,19,Tier 1,1649145
Marketing,Analyst,5,Tier 2,632775
Sales,Lead,9,Tier 1,1551647
Marketing,Associate,19,Tier 2,1709838
Sales,Intern,4,Tier 3,429539
Finance,Director,2,Tier 3,1347124
IT,Analyst,7,Tier 3,715159
HR,Intern,7,Tier 2,689099
Finance,Manager,7,Tier 3,1345178
HR,Associate,13,Tier 2,1317343
IT,Lead,7,Tier 2,1248172
HR,Analyst,9,Tier 1,1056902
Sales,Lead,16,Tier 1,2101739
Sales,Senior Dev,12,Tier 2,1438351
IT,Analyst,3,Tier 3,501300
Marketing,Manager,3,Tier 3,1094254
IT,Lead,17,Tier 3,1728847
Marketing,Senior Dev,5,Tier 3,888814
Support,Analyst,1,Tier 3,353926
Operations,Analyst,10,Tier 2,994779
Sales,Manager,13,Tier 2,1828335
IT,Manager,4,Tier 2,1271295
IT,Lead,5,Tier 1,1254057
HR,Associate,7,Tier 3,809583
Sales,Lead,13,Tier 2,1657287
Sales,Associate,2,Tier 1,675211
Support,Senior Dev,15,Tier 3,1484139
Operations,Director,16,Tier 1,2689520
IT,Senior Dev,9,Tier 2,1261688
IT,Analyst,9,Tier 1,1075476
Support,Analyst,1,Tier 1,469928
Marketing,Manager,12,Tier 1,2000208
HR,Director,15,Tier 2,2329681
IT,Analyst,18,Tier 2,1542219
Operations,Intern,7,Tier 3,598080
Marketing,Intern,14,Tier 3,1061305
Operations,Intern,14,Tier 2,1152862
Sales,Intern,6,Tier 3,570460
Marketing,Manager,16,Tier 1,2330871
Operations,Lead,8,Tier 3,1170519
IT,Director,19,Tier 2,2572378
IT,Senior Dev,17,Tier 1,2044996
Finance,Analyst,15,Tier 2,1304536
Finance,Senior Dev,11,Tier 2,1404555
Finance,Lead,5,Tier 1,1237618
Finance,Intern,6,Tier 1,701480
Marketing,Senior Dev,2,Tier 1,890527
Sales,Manager,17,Tier 2,2093151
IT,Lead,6,Tier 2,1180739
Finance,Senior Dev,7,Tier 2,1126700
Support,Manager,12,Tier 1,2053192
HR,Senior Dev,16,Tier 1,1921252
Operations,Analyst,5,Tier 2,667842
Support,Intern,12,Tier 3,904523
IT,Senior Dev,13,Tier 2,1489630
HR,Associate,3,Tier 3,572523
HR,Manager,6,Tier 1,1591151
Sales,Director,12,Tier 2,2083695
HR,Director,5,Tier 2,1623262
HR,Associate,5,Tier 2,795415
Operations,Analyst,2,Tier 2,455963
Support,Associate,2,Tier 2,571932
HR,Senior Dev,1,Tier 1,828487
Finance,Manager,5,Tier 2,1296855
Operations,Manager,7,Tier 3,1337288
HR,Associate,5,Tier 1,870805
HR,Lead,2,Tier 3,817529
HR,Senior Dev,2,Tier 3,704079
Marketing,Associate,11,Tier 1,1324872
Marketing,Associate,4,Tier 2,731021
IT,Director,19,Tier 3,2329800
Finance,Senior Dev,8,Tier 3,1076910
IT,Analyst,19,Tier 3,1429942
HR,Analyst,3,Tier 2,551772
Support,Lead,12,Tier 2,1542878
Marketing,Associate,9,Tier 2,1036369
Support,Intern,16,Tier 1,1461235
Marketing,Intern,19,Tier 1,1672340
HR,Lead,16,Tier 2,1838933
Finance,Intern,3,Tier 1,490536
Marketing,Intern,0,Tier 1,253678
Marketing,Lead,12,Tier 2,1580400
Operations,Intern,7,Tier 2,690897
IT,Senior Dev,12,Tier 3,1330214
IT,Director,13,Tier 3,1958519
Finance,Director,7,Tier 3,1623082
Sales,Manager,14,Tier 1,2155938
Operations,Associate,12,Tier 1,1394486
Marketing,Manager,4,Tier 2,1250096
Sales,Manager,15,Tier 2,1967270
HR,Lead,1,Tier 2,816997
HR,Analyst,17,Tier 2,1478830
Sales,Associate,16,Tier 2,1518509
Support,Intern,6,Tier 3,558684
Marketing,Director,17,Tier 1,2779524
Finance,Intern,13,Tier 1,1228885
Marketing,Analyst,17,Tier 2,1457596
Finance,Intern,10,Tier 1,1000676
Finance,Director,15,Tier 1,2608878
HR,Director,16,Tier 2,2373559
Support,Lead,18,Tier 2,1934771
Support,Intern,14,Tier 2,1143896
IT,Senior Dev,19,Tier 3,1761913
HR,Director,11,Tier 2,2055390
HR,Lead,19,Tier 1,2326221
IT,Senior Dev,0,Tier 2,631848
Sales,Associate,19,Tier 3,1545464
IT,Senior Dev,14,Tier 3,1429456
Operations,Associate,11,Tier 2,1171554
HR,Lead,10,Tier 1,1608409
Finance,Director,15,Tier 3,2095864
IT,Senior Dev,14,Tier 2,1571888
Support,Associate,12,Tier 3,1113501
Support,Associate,7,Tier 1,1052415
Sales,Director,11,Tier 1,2320920
Support,Senior Dev,10,Tier 1,1506071
Sales,Director,9,Tier 2,1900061
Operations,Associate,18,Tier 1,1848810
Support,Intern,6,Tier 3,587002
Sales,Senior Dev,16,Tier 2,1736656
Support,Associate,7,Tier 2,900054
Marketing,Analyst,5,Tier 3,615397
Marketing,Analyst,17,Tier 1,1665669
HR,Lead,4,Tier 1,1170068
Support,Director,18,Tier 2,2482917
Finance,Associate,7,Tier 3,815832
Marketing,Manager,16,Tier 2,2036706
IT,Director,18,Tier 3,2276762
Finance,Director,16,Tier 2,2373796
Marketing,Senior Dev,18,Tier 3,1708817
Marketing,Intern,7,Tier 2,686642
Operations,Director,6,Tier 3,1567531
Operations,Associate,16,Tier 3,1339221
Operations,Senior Dev,18,Tier 1,2084519
Support,Lead,5,Tier 1,1221051
Finance,Analyst,1,Tier 2,375765
Sales,Manager,4,Tier 3,1166690
Sales,Associate,19,Tier 1,1927323
Sales,Associate,16,Tier 2,1477939
IT,Lead,12,Tier 2,1532307
IT,Associate,16,Tier 2,1501944
IT,Associate,3,Tier 2,646134
Sales,Intern,13,Tier 3,956226
IT,Director,2,Tier 1,1675021
Finance,Associate,7,Tier 3,820391
Operations,Analyst,0,Tier 1,346961
Sales,Lead,17,Tier 3,1742015
IT,Associate,7,Tier 3,800848
Finance,Intern,11,Tier 1,1058255
Operations,Manager,15,Tier 2,1989281
IT,Senior Dev,3,Tier 3,770389
Sales,Intern,11,Tier 2,974266
Operations,Director,8,Tier 2,1861919
Finance,Associate,11,Tier 2,1139358
Finance,Lead,13,Tier 3,1460988
Marketing,Director,1,Tier 2,1361698
IT,Senior Dev,9,Tier 3,1160248
IT,Director,19,Tier 1,2927703
Finance,Director,7,Tier 2,1796041
IT,Intern,18,Tier 3,1258002
Operations,Associate,4,Tier 3,631698
Marketing,Manager,15,Tier 1,2268240
HR,Associate,14,Tier 1,1537570
Operations,Lead,11,Tier 1,1682392
Operations,Associate,11,Tier 2,1151641
Finance,Analyst,14,Tier 2,1230305
Operations,Lead,17,Tier 3,1729763
Finance,Manager,11,Tier 2,1732550
Operations,Director,3,Tier 3,1370566
IT,Director,15,Tier 3,2072230
IT,Intern,15,Tier 3,1119280
HR,Manager,1,Tier 3,934765
Finance,Lead,2,Tier 2,895929
Finance,Director,19,Tier 1,2900552
IT,Manager,19,Tier 3,2021989
IT,Manager,0,Tier 1,1140939
HR,Manager,5,Tier 2,1328652
Sales,Analyst,14,Tier 3,1150953
Operations,Director,13,Tier 3,2004195
Marketing,Director,14,Tier 1,2545901
Operations,Analyst,4,Tier 1,704461
IT,Manager,16,Tier 3,1859546
Marketing,Director,15,Tier 1,2651683
Finance,Director,14,Tier 3,2051430
IT,Intern,3,Tier 3,399242
Operations,Analyst,17,Tier 3,1302948
Operations,Director,2,Tier 2,1424773
Operations,Lead,7,Tier 3,1099878
Marketing,Lead,2,Tier 2,928561
Finance,Associate,9,Tier 1,1198592
Finance,Director,19,Tier 1,2928776
Operations,Senior Dev,7,Tier 1,1300798
HR,Senior Dev,10,Tier 2,1294668
IT,Analyst,4,Tier 3,565161
Support,Senior Dev,12,Tier 2,1456484
Operations,Manager,4,Tier 2,1271159
Operations,Director,12,Tier 1,2415925
Marketing,Manager,4,Tier 2,1240968
HR,Senior Dev,15,Tier 2,1650209
Operations,Associate,0,Tier 3,427703
IT,Intern,18,Tier 2,1425133
HR,Analyst,10,Tier 1,1113395
Support,Intern,11,Tier 1,1082707
Finance,Lead,6,Tier 3,1064393
Support,Associate,12,Tier 3,1140042
Support,Associate,7,Tier 2,878078
Sales,Manager,8,Tier 2,1529574
Operations,Lead,14,Tier 1,1924345
Support,Intern,19,Tier 1,1701152
Support,Analyst,11,Tier 2,1076048
Sales,Manager,7,Tier 3,1316212
IT,Associate,14,Tier 2,1352816
Finance,Intern,0,Tier 2,219432
IT,Director,9,Tier 3,1716837
Sales,Director,9,Tier 2,1904884
Marketing,Analyst,14,Tier 1,1404424
Support,Intern,5,Tier 3,513618
HR,Manager,12,Tier 3,1637111
Finance,Associate,14,Tier 1,1575056
Support,Lead,16,Tier 1,2104381
HR,Lead,12,Tier 1,1753848
Sales,Analyst,5,Tier 3,583136
Finance,Lead,15,Tier 2,1730589
Finance,Lead,12,Tier 1,1796973
